"NMFS_DNA_ID","category","life_stage","collection_location","group_name","pipe_name"
"AM000442","non-reference","non-juvenile","Bycatch","nnByc","nnByc442"
"AM000443","non-reference","non-juvenile","Bycatch","nnByc","nnByc443"
"AM000444","non-reference","non-juvenile","Bycatch","nnByc","nnByc444"
"AM000445","non-reference","non-juvenile","Bycatch","nnByc","nnByc445"
"AM000446","non-reference","non-juvenile","Bycatch","nnByc","nnByc446"
"AM000447","non-reference","non-juvenile","Bycatch","nnByc","nnByc447"
"AM000448","non-reference","non-juvenile","Bycatch","nnByc","nnByc448"
"AM000449","non-reference","non-juvenile","Bycatch","nnByc","nnByc449"
"AM000450","non-reference","non-juvenile","Bycatch","nnByc","nnByc450"
"AM000451","non-reference","non-juvenile","Bycatch","nnByc","nnByc451"
"AM000452","non-reference","non-juvenile","Bycatch","nnByc","nnByc452"
"AM000453","non-reference","non-juvenile","Bycatch","nnByc","nnByc453"
"AM000454","non-reference","non-juvenile","Bycatch","nnByc","nnByc454"
"AM000455","non-reference","non-juvenile","Bycatch","nnByc","nnByc455"
"AM000456","non-reference","non-juvenile","Bycatch","nnByc","nnByc456"
"AM000457","non-reference","non-juvenile","Bycatch","nnByc","nnByc457"
"AM000458","non-reference","non-juvenile","Bycatch","nnByc","nnByc458"
"AM000459","non-reference","non-juvenile","Bycatch","nnByc","nnByc459"
"AM000460","non-reference","non-juvenile","Bycatch","nnByc","nnByc460"
"AM000461","non-reference","non-juvenile","Bycatch","nnByc","nnByc461"
"AM000462","non-reference","non-juvenile","Bycatch","nnByc","nnByc462"
"AM000463","non-reference","non-juvenile","Bycatch","nnByc","nnByc463"
"AM000464","non-reference","non-juvenile","Bycatch","nnByc","nnByc464"
"AM000465","non-reference","non-juvenile","Bycatch","nnByc","nnByc465"
"AM000466","non-reference","non-juvenile","Bycatch","nnByc","nnByc466"
"AM000467","non-reference","non-juvenile","Bycatch","nnByc","nnByc467"
"AM000468","non-reference","non-juvenile","Bycatch","nnByc","nnByc468"
"AM000469","non-reference","non-juvenile","Bycatch","nnByc","nnByc469"
"AM000470","non-reference","non-juvenile","Bycatch","nnByc","nnByc470"
"AM000471","non-reference","non-juvenile","Bycatch","nnByc","nnByc471"
"AM000472","non-reference","non-juvenile","Bycatch","nnByc","nnByc472"
"AM000473","non-reference","non-juvenile","Bycatch","nnByc","nnByc473"
"AM000308","reference","juvenile","Sacramento River","rjSac","rjSac308"
"AM000309","reference","juvenile","Sacramento River","rjSac","rjSac309"
"AM000314","non-reference","non-juvenile","Eel River","nnEel","nnEel314"
"AM000315","non-reference","non-juvenile","Eel River","nnEel","nnEel315"
"AM000310","non-reference","non-juvenile","Bycatch","nnByc","nnByc310"
"AM000311","non-reference","non-juvenile","Bycatch","nnByc","nnByc311"
"AM000312","non-reference","non-juvenile","Bycatch","nnByc","nnByc312"
"AM000313","non-reference","non-juvenile","Bycatch","nnByc","nnByc313"
